0.06304936s, 0.00757868s, 0.00022251s, 0.05524818s, 332.01MB
0.06165708s, 0.00876476s, 0.00024788s, 0.05264444s, 332.01MB
0.06354546s, 0.00418380s, 0.00013541s, 0.05922625s, 332.01MB
0.05754905s, 0.00900155s, 0.00024445s, 0.04830305s, 332.27MB
0.05201613s, 0.00423717s, 0.00017017s, 0.04760880s, 332.27MB
0.06595646s, 0.00904786s, 0.00023184s, 0.05667676s, 332.27MB
0.05612672s, 0.00828925s, 0.00024337s, 0.04759410s, 332.27MB
0.05533518s, 0.00480070s, 0.00023958s, 0.05029490s, 332.78MB
0.06282167s, 0.00843347s, 0.00027463s, 0.05411357s, 332.78MB
0.04711581s, 0.00436251s, 0.00015519s, 0.04259811s, 332.78MB
